"Site Crawled","https://bgoonz-blog.netlify.app/"
"Date","2022-01-04"
"Time","03:00:47"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"All","176","100.00%","176","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","0","0.00%","176","Internal HTML or PDF pages with 2xx response"
"Self Referencing","0","0.00%","176","Internal HTML or PDF pages with 2xx response"
"Canonicalised","0","0.00%","176","Internal HTML or PDF pages with 2xx response"
"Missing","176","100.00%","176","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","176","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","0","0.00%","176","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","176","100.00%","176","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","176","Internal HTML pages with 2xx response"
"First Page","0","0.00%","176","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","176","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","0","0.00%","176","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","176","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","176","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","176","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","176","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","176","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","176","Internal HTML pages with 2xx response"
""
"Directives"
"All","177","100.00%","177","Internal URLs with 2xx response"
"Index","0","0.00%","177","Internal URLs with 2xx response"
"Noindex","0","0.00%","177","Internal URLs with 2xx response"
"Follow","0","0.00%","177","Internal URLs with 2xx response"
"Nofollow","0","0.00%","177","Internal URLs with 2xx response"
"None","0","0.00%","177","Internal URLs with 2xx response"
"NoArchive","0","0.00%","177","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","177","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","177","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","177","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","177","Internal URLs with 2xx response"
"NoODP","0","0.00%","177","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","177","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","177","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","177","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","177","Internal URLs with 2xx response"
"Refresh","0","0.00%","206","Internal HTML pages with 2xx response"
""
"Hreflang"
"All","176","100.00%","176","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","176","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","176","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","176","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","176","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","176","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","176","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","176","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","176","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","176","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","176","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","176","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","176","Internal pages with 2xx response"
"Missing","0","0.00%","176","Internal pages with 2xx response"
""
"JavaScript"
"All","176","100.00%","176","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","176","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","176","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","176","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","176","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","176","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","176","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","176","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","176","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","176","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","176","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","176","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","176","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","176","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","176","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","176","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","206","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","206","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","176","100.00%","176","Structured Data in URL"
"Contains Structured Data","0","0.00%","176","Structured Data in URL"
"Missing","176","100.00%","176","Structured Data in URL"
"Validation Errors","0","0.00%","176","Structured Data in URL"
"Validation Warnings","0","0.00%","176","Structured Data in URL"
"Parse Errors","0","0.00%","176","Structured Data in URL"
"Microdata URLs","0","0.00%","176","Structured Data in URL"
"JSON-LD URLs","0","0.00%","176","Structured Data in URL"
"RDFa URLs","0","0.00%","176","Structured Data in URL"
""
"Sitemaps"
"All","208","100.00%","208","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","208","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","208","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","208","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","208","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","208","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","208","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","208","Internal HTML/XML pages"
""
"PageSpeed"
"All","176","100.00%","176","PageSpeed Data"
"Eliminate Render-Blocking Resources","0","0.00%","176","PageSpeed Data"
"Properly Size Images","0","0.00%","176","PageSpeed Data"
"Defer Offscreen Images","0","0.00%","176","PageSpeed Data"
"Minify CSS","0","0.00%","176","PageSpeed Data"
"Minify JavaScript","0","0.00%","176","PageSpeed Data"
"Reduce Unused CSS","0","0.00%","176","PageSpeed Data"
"Reduce Unused JavaScript","0","0.00%","176","PageSpeed Data"
"Efficiently Encode Images","0","0.00%","176","PageSpeed Data"
"Serve Images in Next-Gen Formats","0","0.00%","176","PageSpeed Data"
"Enable Text Compression","0","0.00%","176","PageSpeed Data"
"Preconnect to Required Origins","0","0.00%","176","PageSpeed Data"
"Reduce Server Response Times (TTFB)","0","0.00%","176","PageSpeed Data"
"Avoid Multiple Page Redirects","0","0.00%","176","PageSpeed Data"
"Preload Key Requests","0","0.00%","176","PageSpeed Data"
"Use Video Formats for Animated Content","0","0.00%","176","PageSpeed Data"
"Avoid Excessive DOM Size","0","0.00%","176","PageSpeed Data"
"Reduce JavaScript Execution Time","0","0.00%","176","PageSpeed Data"
"Serve Static Assets with an Efficient Cache Policy","0","0.00%","176","PageSpeed Data"
"Minimize Main-Thread Work","0","0.00%","176","PageSpeed Data"
